frame,FB,LR,height,spread,cy_speed,cx,cy,cz
62,-0.9999999999999998,9.551661683815382e-10,0.0,0.9999999999999999,-5.551115123125783e-15,9.551661683815382e-10,-0.9999999999999998,0.0
63,-1.0,-4.1692925778491485e-09,0.0,0.9999999999999999,-1.1102230246251565e-14,-4.1692925778491485e-09,-1.0,0.0
64,-1.0,5.723066465179727e-11,0.0,1.0,0.0,5.723066465179727e-11,-1.0,0.0
65,-1.0,3.218465993715114e-09,0.0,1.0,0.0,3.218465993715114e-09,-1.0,0.0
66,-1.0,-1.4786444291203793e-10,0.0,1.0,5.551115123125783e-15,-1.4786444291203793e-10,-1.0,0.0
67,-0.9999999999999999,-1.3421551092740458e-09,0.0,1.0,0.0,-1.3421551092740458e-09,-0.9999999999999999,0.0
68,-1.0,-1.6334910646342848e-09,0.0,1.0,-5.551115123125783e-15,-1.6334910646342848e-09,-1.0,0.0
69,-1.0,-5.589583629284078e-09,0.0,1.0,0.0,-5.589583629284078e-09,-1.0,0.0
70,-1.0,-4.677315146306427e-09,0.0,1.0,0.0,-4.677315146306427e-09,-1.0,0.0
71,-1.0,1.265122229199278e-09,0.0,1.0,0.0,1.265122229199278e-09,-1.0,0.0
72,-1.0,2.5044433193954774e-09,0.0,1.0,0.0,2.5044433193954774e-09,-1.0,0.0
73,-1.0,4.629444994019849e-09,0.0,0.9999999999999999,0.0,4.629444994019849e-09,-1.0,0.0
74,-1.0,3.5563542666317005e-09,0.0,1.0,0.0,3.5563542666317005e-09,-1.0,0.0
75,-1.0,3.696767003624757e-09,0.0,0.9999999999999999,0.0,3.696767003624757e-09,-1.0,0.0
76,-1.0,-1.4563913408593976e-09,0.0,1.0,0.0,-1.4563913408593976e-09,-1.0,0.0
77,-1.0,-5.971451888520107e-09,0.0,0.9999999999999999,0.0,-5.971451888520107e-09,-1.0,0.0
78,-1.0,-4.296783207013988e-09,0.0,1.0,0.0,-4.296783207013988e-09,-1.0,0.0
79,-1.0,-1.0788699933428347e-09,0.0,0.9999999999999999,0.0,-1.0788699933428347e-09,-1.0,0.0
80,-1.0,-8.080880409266911e-10,0.0,0.9999999999999999,0.0,-8.080880409266911e-10,-1.0,0.0
81,-1.0,-1.7699204879484398e-09,0.0,1.0,-1.1102230246251565e-14,-1.7699204879484398e-09,-1.0,0.0
82,-1.0000000000000002,7.705682203429376e-10,0.0,1.0,0.0,7.705682203429376e-10,-1.0000000000000002,0.0
83,-1.0,9.48871314854216e-10,0.0,1.0,1.1102230246251565e-14,9.48871314854216e-10,-1.0,0.0
84,-1.0,2.4359704808851745e-09,0.0,0.9999999999999999,0.0,2.4359704808851745e-09,-1.0,0.0
85,-1.0,-2.5381209911579106e-09,0.0,0.9999999999999999,0.0,-2.5381209911579106e-09,-1.0,0.0
86,-1.0,-1.0372563918892297e-10,0.0,1.0,-1.1102230246251565e-14,-1.0372563918892297e-10,-1.0,0.0
87,-1.0000000000000002,3.1022734936492213e-09,0.0,1.0,0.0,3.1022734936492213e-09,-1.0000000000000002,0.0
88,-1.0,4.074384218899496e-09,0.0,1.0,1.1102230246251565e-14,4.074384218899496e-09,-1.0,0.0
89,-1.0,3.90373078307249e-09,0.0,0.9999999999999999,0.0,3.90373078307249e-09,-1.0,0.0
90,-1.0,-7.078141961436302e-10,0.0,0.9999999999999999,0.0,-7.078141961436302e-10,-1.0,0.0
91,-1.0,9.70641234054881e-10,0.0,1.0,0.0,9.70641234054881e-10,-1.0,0.0
92,-1.0,1.8260464251795838e-09,0.0,1.0,5.551115123125783e-15,1.8260464251795838e-09,-1.0,0.0
93,-0.9999999999999999,1.7106180361103895e-09,0.0,0.9999999999999999,1.1102230246251565e-14,1.7106180361103895e-09,-0.9999999999999999,0.0
94,-0.9999999999999998,2.1507810532561678e-09,0.0,0.9999999999999999,-5.551115123125783e-15,2.1507810532561678e-09,-0.9999999999999998,0.0
95,-1.0,3.1467363714732244e-09,0.0,1.0,-5.551115123125783e-15,3.1467363714732244e-09,-1.0,0.0
96,-0.9999999999999999,-7.594312956271665e-10,0.0,0.9999999999999999,0.0,-7.594312956271665e-10,-0.9999999999999999,0.0
97,-1.0,-5.516597123556011e-09,0.0,1.0,-5.551115123125783e-15,-5.516597123556011e-09,-1.0,0.0
98,-1.0,-6.231862692551715e-09,0.0,1.0,0.0,-6.231862692551715e-09,-1.0,0.0
99,-1.0,-1.754407730203411e-10,0.0,1.0,0.0,-1.754407730203411e-10,-1.0,0.0
100,-1.0,2.219414541038134e-09,0.0,0.9999999999999999,0.0,2.219414541038134e-09,-1.0,0.0
101,-1.0,1.004727911979586e-09,0.0,1.0,0.0,1.004727911979586e-09,-1.0,0.0
102,-1.0,1.4197831244011638e-09,0.0,1.0,0.0,1.4197831244011638e-09,-1.0,0.0
103,-1.0,-1.9401820150477533e-09,0.0,1.0,0.0,-1.9401820150477533e-09,-1.0,0.0
104,-1.0,-6.18947904040823e-09,0.0,1.0,0.0,-6.18947904040823e-09,-1.0,0.0
105,-1.0,-2.700939083499776e-09,0.0,1.0,-1.1102230246251565e-14,-2.700939083499776e-09,-1.0,0.0
106,-1.0000000000000002,3.6549860360501896e-09,0.0,1.0,0.0,3.6549860360501896e-09,-1.0000000000000002,0.0
107,-1.0,2.4535327103336613e-09,0.0,1.0,1.1102230246251565e-14,2.4535327103336613e-09,-1.0,0.0
108,-1.0,2.052322145562613e-09,0.0,1.0,0.0,2.052322145562613e-09,-1.0,0.0
109,-1.0,3.961200645274943e-09,0.0,1.0,0.0,3.961200645274943e-09,-1.0,0.0
110,-1.0,2.860104375557171e-10,0.0,0.9999999999999999,0.0,2.860104375557171e-10,-1.0,0.0
111,-1.0,-2.2858409609582964e-09,0.0,0.9999999999999999,0.0,-2.2858409609582964e-09,-1.0,0.0
112,-1.0,1.3410340615749305e-09,0.0,0.9999999999999999,0.0,1.3410340615749305e-09,-1.0,0.0
113,-1.0,3.086106203920025e-09,0.0,1.0,0.0,3.086106203920025e-09,-1.0,0.0
114,-1.0,6.888622450240689e-10,0.0,1.0,0.0,6.888622450240689e-10,-1.0,0.0
115,-1.0,3.0657655303301112e-09,0.0,0.9999999999999999,0.0,3.0657655303301112e-09,-1.0,0.0
116,-1.0,2.473921623113995e-09,0.0,0.9999999999999999,0.0,2.473921623113995e-09,-1.0,0.0
117,-1.0,-4.4556308642640374e-10,0.0,1.0,0.0,-4.4556308642640374e-10,-1.0,0.0
118,-1.0,-8.513734162107767e-11,0.0,0.9999999999999999,0.0,-8.513734162107767e-11,-1.0,0.0
119,-1.0,-2.086787909139076e-09,0.0,1.0,0.0,-2.086787909139076e-09,-1.0,0.0
120,-1.0,-2.923505937335591e-09,0.0,1.0,-1.1102230246251565e-14,-2.923505937335591e-09,-1.0,0.0
121,-1.0000000000000002,-7.93710097646283e-10,0.0,1.0,0.0,-7.93710097646283e-10,-1.0000000000000002,0.0
122,-1.0,1.1689038625917192e-10,0.0,1.0,1.1102230246251565e-14,1.1689038625917192e-10,-1.0,0.0
123,-1.0,5.802633928908563e-10,0.0,1.0,0.0,5.802633928908563e-10,-1.0,0.0
124,-1.0,1.232444812870881e-09,0.0,0.9999999999999999,1.1102230246251565e-14,1.232444812870881e-09,-1.0,0.0
125,-0.9999999999999998,4.578080303740961e-09,0.0,0.9999999999999999,-1.1102230246251565e-14,4.578080303740961e-09,-0.9999999999999998,0.0
126,-1.0000000000000002,6.286561105017796e-09,0.0,1.0,-1.1102230246251565e-14,6.286561105017796e-09,-1.0000000000000002,0.0
127,-1.0,1.97535937607185e-09,0.0,0.9999999999999999,1.6653345369377348e-14,1.97535937607185e-09,-1.0,0.0
128,-0.9999999999999999,-2.50718640293357e-09,0.0,0.9999999999999999,0.0,-2.50718640293357e-09,-0.9999999999999999,0.0
129,-1.0,-5.125804947159196e-09,0.0,1.0,-5.551115123125783e-15,-5.125804947159196e-09,-1.0,0.0
130,-1.0,-2.168503043797898e-09,0.0,1.0,0.0,-2.168503043797898e-09,-1.0,0.0
131,-1.0,-1.4476198018087416e-12,0.0,1.0,0.0,-1.4476198018087416e-12,-1.0,0.0
132,-1.0,-4.510506301791395e-09,0.0,1.0,1.1102230246251565e-14,-4.510506301791395e-09,-1.0,0.0
133,-0.9999999999999998,-8.741390833399976e-09,0.0,0.9999999999999998,0.0,-8.741390833399976e-09,-0.9999999999999998,0.0
134,-1.0,-6.975614197379798e-09,0.0,1.0,-1.1102230246251565e-14,-6.975614197379798e-09,-1.0,0.0
135,-1.0,1.2765765666777895e-09,0.0,1.0,0.0,1.2765765666777895e-09,-1.0,0.0
136,-1.0,3.4601348453122682e-09,0.0,1.0,0.0,3.4601348453122682e-09,-1.0,0.0
137,-1.0,1.1623441098507215e-10,0.0,1.0,0.0,1.1623441098507215e-10,-1.0,0.0
138,-1.0,-1.1828315549244905e-09,0.0,1.0,0.0,-1.1828315549244905e-09,-1.0,0.0
139,-1.0,-1.5924179197490673e-09,0.0,1.0,0.0,-1.5924179197490673e-09,-1.0,0.0
140,-1.0,3.202500709065248e-09,0.0,1.0,0.0,3.202500709065248e-09,-1.0,0.0
141,-1.0,4.874788850361966e-09,0.0,1.0,0.0,4.874788850361966e-09,-1.0,0.0
142,-1.0,-3.454415087311702e-10,0.0,1.0,-1.1102230246251565e-14,-3.454415087311702e-10,-1.0,0.0
143,-1.0000000000000002,-1.1909176977908942e-09,0.0,1.0,0.0,-1.1909176977908942e-09,-1.0000000000000002,0.0
144,-1.0,2.0749244544759904e-09,0.0,1.0,1.1102230246251565e-14,2.0749244544759904e-09,-1.0,0.0
145,-1.0,2.985473535055405e-10,0.0,1.0,0.0,2.985473535055405e-10,-1.0,0.0
146,-1.0,1.4383340074530793e-09,0.0,1.0,0.0,1.4383340074530793e-09,-1.0,0.0
147,-1.0,-2.222337980306577e-09,0.0,0.9999999999999999,0.0,-2.222337980306577e-09,-1.0,0.0
148,-1.0,-4.059045544124729e-09,0.0,0.9999999999999999,0.0,-4.059045544124729e-09,-1.0,0.0
149,-1.0,-3.389261094000062e-10,0.0,1.0,0.0,-3.389261094000062e-10,-1.0,0.0
150,-1.0,-6.040150379860165e-09,0.0,1.0,5.551115123125783e-15,-6.040150379860165e-09,-1.0,0.0
151,-0.9999999999999999,-7.269151058864054e-09,0.0,0.9999999999999999,1.1102230246251565e-14,-7.269151058864054e-09,-0.9999999999999999,0.0
152,-0.9999999999999998,-2.1693356555552157e-09,0.0,0.9999999999999999,-5.551115123125783e-15,-2.1693356555552157e-09,-0.9999999999999998,0.0
153,-1.0,1.4109801105277597e-09,0.0,1.0,-1.1102230246251565e-14,1.4109801105277597e-09,-1.0,0.0
154,-1.0,-2.4958211608527847e-09,0.0,1.0,0.0,-2.4958211608527847e-09,-1.0,0.0
155,-1.0,-3.887231481147779e-09,0.0,0.9999999999999999,0.0,-3.887231481147779e-09,-1.0,0.0
156,-1.0,-3.6830488658878835e-10,0.0,1.0,-1.1102230246251565e-14,-3.6830488658878835e-10,-1.0,0.0
157,-1.0000000000000002,1.5904705330527236e-10,0.0,1.0,0.0,1.5904705330527236e-10,-1.0000000000000002,0.0
158,-1.0,-5.858442064798908e-10,0.0,1.0,1.1102230246251565e-14,-5.858442064798908e-10,-1.0,0.0
159,-1.0,-3.910199219969712e-09,0.0,1.0,0.0,-3.910199219969712e-09,-1.0,0.0
160,-1.0,-3.450296770513006e-09,0.0,1.0,0.0,-3.450296770513006e-09,-1.0,0.0
161,-1.0,-8.390951822256909e-10,0.0,1.0,0.0,-8.390951822256909e-10,-1.0,0.0
162,-1.0,-1.3830126488478811e-09,0.0,0.9999999999999999,0.0,-1.3830126488478811e-09,-1.0,0.0
163,-1.0,-1.4710128670714084e-09,0.0,1.0,0.0,-1.4710128670714084e-09,-1.0,0.0
164,-1.0,4.283094046098057e-09,0.0,0.9999999999999999,0.0,4.283094046098057e-09,-1.0,0.0
165,-1.0,1.5058072566631608e-09,0.0,1.0,0.0,1.5058072566631608e-09,-1.0,0.0
166,-1.0,-2.027525092263005e-09,0.0,1.0,0.0,-2.027525092263005e-09,-1.0,0.0
167,-1.0,-4.1910680481649365e-10,0.0,0.9999999999999999,0.0,-4.1910680481649365e-10,-1.0,0.0
168,-1.0,-2.3100423240940415e-09,0.0,1.0,-1.1102230246251565e-14,-2.3100423240940415e-09,-1.0,0.0
169,-1.0000000000000002,3.534924575276932e-10,0.0,1.0,0.0,3.534924575276932e-10,-1.0000000000000002,0.0
170,-1.0,3.334640341634554e-10,0.0,0.9999999999999999,1.1102230246251565e-14,3.334640341634554e-10,-1.0,0.0
171,-1.0,1.5954420007346926e-09,0.0,1.0,0.0,1.5954420007346926e-09,-1.0,0.0
172,-1.0,6.6500712159189845e-09,0.0,1.0,0.0,6.6500712159189845e-09,-1.0,0.0
173,-1.0,8.24318424630377e-09,0.0,1.0,0.0,8.24318424630377e-09,-1.0,0.0
174,-1.0,2.7506963928836115e-09,0.0,1.0,5.551115123125783e-15,2.7506963928836115e-09,-1.0,0.0
175,-0.9999999999999999,-3.042634699745861e-09,0.0,0.9999999999999998,5.551115123125783e-15,-3.042634699745861e-09,-0.9999999999999999,0.0
176,-0.9999999999999999,-4.703500366964875e-10,0.0,0.9999999999999999,5.551115123125783e-15,-4.703500366964875e-10,-0.9999999999999999,0.0
177,-0.9999999999999998,9.687229907129336e-10,0.0,0.9999999999999999,-1.6653345369377348e-14,9.687229907129336e-10,-0.9999999999999998,0.0
178,-1.0000000000000002,1.3002424137376067e-09,0.0,1.0,-1.1102230246251565e-14,1.3002424137376067e-09,-1.0000000000000002,0.0
179,-1.0,2.209512461881502e-09,0.0,1.0,1.1102230246251565e-14,2.209512461881502e-09,-1.0,0.0
180,-1.0,1.4806839088166157e-09,0.0,1.0,5.551115123125783e-15,1.4806839088166157e-09,-1.0,0.0
181,-0.9999999999999999,3.4871139309444743e-09,0.0,0.9999999999999999,0.0,3.4871139309444743e-09,-0.9999999999999999,0.0
182,-1.0,2.133490994982168e-09,0.0,1.0,-5.551115123125783e-15,2.133490994982168e-09,-1.0,0.0
183,-1.0,-1.4600773923234556e-09,0.0,1.0,5.551115123125783e-15,-1.4600773923234556e-09,-1.0,0.0
184,-0.9999999999999999,5.999205021645082e-10,0.0,0.9999999999999999,0.0,5.999205021645082e-10,-0.9999999999999999,0.0
185,-1.0,1.9457461752914185e-09,0.0,1.0,-5.551115123125783e-15,1.9457461752914185e-09,-1.0,0.0
186,-1.0,9.255552990694582e-10,0.0,0.9999999999999999,0.0,9.255552990694582e-10,-1.0,0.0
187,-1.0,6.717030820446723e-10,0.0,1.0,0.0,6.717030820446723e-10,-1.0,0.0
188,-1.0,-7.975751725730618e-10,0.0,1.0,0.0,-7.975751725730618e-10,-1.0,0.0
189,-1.0,-4.525273267219632e-09,0.0,1.0,0.0,-4.525273267219632e-09,-1.0,0.0
190,-1.0,-4.722626789632756e-09,0.0,1.0,0.0,-4.722626789632756e-09,-1.0,0.0
191,-1.0,1.9854025090637606e-09,0.0,1.0,0.0,1.9854025090637606e-09,-1.0,0.0
192,-1.0,3.00270386333068e-09,0.0,0.9999999999999999,0.0,3.00270386333068e-09,-1.0,0.0
193,-1.0,1.6365940269658097e-09,0.0,1.0,0.0,1.6365940269658097e-09,-1.0,0.0
194,-1.0,3.976072970868216e-09,0.0,0.9999999999999999,0.0,3.976072970868216e-09,-1.0,0.0
195,-1.0,1.890935297232943e-09,0.0,1.0,0.0,1.890935297232943e-09,-1.0,0.0
196,-1.0,-3.8381781086727074e-10,0.0,1.0,0.0,-3.8381781086727074e-10,-1.0,0.0
197,-1.0,1.5531232411269968e-09,0.0,1.0,0.0,1.5531232411269968e-09,-1.0,0.0
198,-1.0,2.1285079809807428e-09,0.0,1.0,0.0,2.1285079809807428e-09,-1.0,0.0
199,-1.0,-8.02970134827774e-10,0.0,1.0,0.0,-8.02970134827774e-10,-1.0,0.0
200,-1.0,-1.0656426852051482e-09,0.0,1.0,-1.1102230246251565e-14,-1.0656426852051482e-09,-1.0,0.0
201,-1.0000000000000002,-2.179059044316034e-09,0.0,1.0,0.0,-2.179059044316034e-09,-1.0000000000000002,0.0
202,-1.0,-2.4308362545077955e-09,0.0,1.0,1.1102230246251565e-14,-2.4308362545077955e-09,-1.0,0.0
203,-1.0,-1.5313283974194292e-10,0.0,1.0,0.0,-1.5313283974194292e-10,-1.0,0.0
204,-1.0,-1.3992057512624e-10,0.0,1.0,0.0,-1.3992057512624e-10,-1.0,0.0
205,-1.0,1.2394560933159937e-09,0.0,0.9999999999999999,0.0,1.2394560933159937e-09,-1.0,0.0
206,-1.0,-1.009890226999488e-09,0.0,1.0,0.0,-1.009890226999488e-09,-1.0,0.0
207,-1.0,-1.4732001729633737e-09,0.0,0.9999999999999999,0.0,-1.4732001729633737e-09,-1.0,0.0
208,-1.0,-6.836805566123871e-10,0.0,1.0,0.0,-6.836805566123871e-10,-1.0,0.0
209,-1.0,8.160531139722593e-10,0.0,1.0,0.0,8.160531139722593e-10,-1.0,0.0
210,-1.0,-1.3714679392151652e-09,0.0,0.9999999999999999,0.0,-1.3714679392151652e-09,-1.0,0.0
211,-1.0,-3.9396278461723e-09,0.0,0.9999999999999999,0.0,-3.9396278461723e-09,-1.0,0.0
212,-1.0,-7.629458731450711e-10,0.0,1.0,5.551115123125783e-15,-7.629458731450711e-10,-1.0,0.0
213,-0.9999999999999999,-1.1352186968238698e-09,0.0,0.9999999999999999,0.0,-1.1352186968238698e-09,-0.9999999999999999,0.0
214,-1.0,-3.6889137855489196e-09,0.0,1.0,-1.6653345369377348e-14,-3.6889137855489196e-09,-1.0,0.0
215,-1.0000000000000002,4.450821378121361e-10,0.0,1.0,5.551115123125783e-15,4.450821378121361e-10,-1.0000000000000002,0.0
216,-0.9999999999999999,3.810716187047092e-09,0.0,0.9999999999999999,1.1102230246251565e-14,3.810716187047092e-09,-0.9999999999999999,0.0
217,-1.0,1.1197233695803277e-09,0.0,1.0,-5.551115123125783e-15,1.1197233695803277e-09,-1.0,0.0
218,-1.0,6.187572121341134e-10,0.0,1.0,0.0,6.187572121341134e-10,-1.0,0.0
219,-1.0,2.7244869693632268e-09,0.0,0.9999999999999999,-1.1102230246251565e-14,2.7244869693632268e-09,-1.0,0.0
220,-1.0000000000000002,5.508083433802824e-10,0.0,1.0,5.551115123125783e-15,5.508083433802824e-10,-1.0000000000000002,0.0
221,-0.9999999999999999,-4.2452609205767544e-09,0.0,1.0,1.1102230246251565e-14,-4.2452609205767544e-09,-0.9999999999999999,0.0
222,-1.0,-2.90212076592411e-10,0.0,1.0,-5.551115123125783e-15,-2.90212076592411e-10,-1.0,0.0
223,-1.0,-8.758258007723896e-10,0.0,0.9999999999999999,0.0,-8.758258007723896e-10,-1.0,0.0
224,-1.0,-2.8969874277251506e-09,0.0,1.0,0.0,-2.8969874277251506e-09,-1.0,0.0
225,-1.0,-2.5959660532315354e-09,0.0,1.0,0.0,-2.5959660532315354e-09,-1.0,0.0
226,-1.0,-6.865328416871819e-09,0.0,0.9999999999999999,-1.1102230246251565e-14,-6.865328416871819e-09,-1.0,0.0
227,-1.0000000000000002,-6.502738070235381e-09,0.0,1.0,0.0,-6.502738070235381e-09,-1.0000000000000002,0.0
228,-1.0,-2.846479052465156e-09,0.0,1.0,1.1102230246251565e-14,-2.846479052465156e-09,-1.0,0.0
229,-1.0,-2.6627300919734864e-09,0.0,1.0,0.0,-2.6627300919734864e-09,-1.0,0.0
230,-1.0,9.679400059248167e-10,0.0,1.0,0.0,9.679400059248167e-10,-1.0,0.0
231,-1.0,3.1509380105099183e-09,0.0,1.0,0.0,3.1509380105099183e-09,-1.0,0.0
232,-1.0,-3.176625573697578e-09,0.0,0.9999999999999999,0.0,-3.176625573697578e-09,-1.0,0.0
233,-1.0,1.0369276548516382e-09,0.0,1.0,0.0,1.0369276548516382e-09,-1.0,0.0
234,-1.0,-9.825011915154391e-10,0.0,1.0,0.0,-9.825011915154391e-10,-1.0,0.0
235,-1.0,-4.260378383413865e-09,0.0,1.0,0.0,-4.260378383413865e-09,-1.0,0.0
236,-1.0,2.1236055136597543e-09,0.0,1.0,0.0,2.1236055136597543e-09,-1.0,0.0
237,-1.0,-1.4373903733932991e-09,0.0,1.0,0.0,-1.4373903733932991e-09,-1.0,0.0
238,-1.0,-2.8655177120029407e-09,0.0,1.0,0.0,-2.8655177120029407e-09,-1.0,0.0
239,-1.0,2.8829391096607537e-09,0.0,1.0,0.0,2.8829391096607537e-09,-1.0,0.0
240,-1.0,2.4119647390463683e-09,0.0,1.0,0.0,2.4119647390463683e-09,-1.0,0.0
