counter,timestamp,address,args,arg_types
61,11:30:50.871,/adm/obj/1/xyz,"[-0.8500000238418579, 1.0, 0.0]","float, float, float"
62,11:30:50.871,/adm/obj/2/xyz,"[-0.3499999940395355, 1.0, 0.0]","float, float, float"
63,11:30:50.871,/adm/obj/3/xyz,"[0.3499999940395355, 1.0, 0.0]","float, float, float"
64,11:30:50.871,/adm/obj/4/xyz,"[0.8500000238418579, 1.0, 0.0]","float, float, float"
65,11:30:51.120,/adm/obj/3/xyz,"[0.3499999940395355, 1.0, 0.0]","float, float, float"
66,11:30:51.121,/adm/obj/4/xyz,"[0.8500000238418579, 1.0, 0.0]","float, float, float"
67,11:30:51.125,/adm/obj/1/xyz,"[-0.8500000238418579, 1.0, 0.0]","float, float, float"
68,11:30:51.125,/adm/obj/2/xyz,"[-0.3499999940395355, 1.0, 0.0]","float, float, float"
69,11:30:52.121,/adm/obj/2/xyz,"[-0.3499999940395355, 1.0, 0.0]","float, float, float"
70,11:30:52.121,/adm/obj/3/xyz,"[0.3499999940395355, 1.0, 0.0]","float, float, float"
71,11:30:52.121,/adm/obj/4/xyz,"[0.8500000238418579, 1.0, 0.0]","float, float, float"
72,11:30:52.122,/adm/obj/1/xyz,"[-0.8500000238418579, 1.0, 0.0]","float, float, float"
73,11:30:53.120,/adm/obj/1/xyz,"[-0.8500000238418579, 1.0, 0.0]","float, float, float"
74,11:30:53.122,/adm/obj/2/xyz,"[-0.3499999940395355, 1.0, 0.0]","float, float, float"
75,11:30:53.122,/adm/obj/3/xyz,"[0.3499999940395355, 1.0, 0.0]","float, float, float"
76,11:30:53.123,/adm/obj/4/xyz,"[0.8500000238418579, 1.0, 0.0]","float, float, float"
77,11:30:54.122,/adm/obj/4/xyz,"[0.8500000238418579, 1.0, 0.0]","float, float, float"
78,11:30:54.122,/adm/obj/1/xyz,"[-0.8500000238418579, 1.0, 0.0]","float, float, float"
79,11:30:54.123,/adm/obj/2/xyz,"[-0.3499999940395355, 1.0, 0.0]","float, float, float"
80,11:30:54.123,/adm/obj/3/xyz,"[0.3499999940395355, 1.0, 0.0]","float, float, float"
81,11:30:55.121,/adm/obj/4/xyz,"[0.8500000238418579, 0.0, 0.0]","float, float, float"
82,11:30:55.121,/adm/obj/3/xyz,"[0.3499999940395355, 0.0, 0.0]","float, float, float"
83,11:30:55.121,/adm/obj/1/xyz,"[-0.8500000238418579, 0.0, 0.0]","float, float, float"
84,11:30:55.121,/adm/obj/2/xyz,"[-0.3499999940395355, 0.0, 0.0]","float, float, float"
85,11:30:56.121,/adm/obj/1/xyz,"[-0.8500000238418579, 0.0, 0.0]","float, float, float"
86,11:30:56.123,/adm/obj/2/xyz,"[-0.3499999940395355, 0.0, 0.0]","float, float, float"
87,11:30:56.123,/adm/obj/3/xyz,"[0.3499999940395355, 0.0, 0.0]","float, float, float"
