counter,timestamp,address,args,arg_types
1,11:32:10.396,/adm/obj/1/xyz,"[-0.8500000238418579, 1.0, 0.0]","float, float, float"
2,11:32:10.396,/adm/obj/2/xyz,"[-0.3499999940395355, 1.0, 0.0]","float, float, float"
3,11:32:10.397,/adm/obj/3/xyz,"[0.3499999940395355, 1.0, 0.0]","float, float, float"
4,11:32:10.397,/adm/obj/4/xyz,"[0.8500000238418579, 1.0, 0.0]","float, float, float"
5,11:32:10.650,/adm/obj/1/xyz,"[-0.8500000238418579, 1.0, 0.0]","float, float, float"
6,11:32:10.650,/adm/obj/2/xyz,"[-0.3499999940395355, 1.0, 0.0]","float, float, float"
7,11:32:10.650,/adm/obj/3/xyz,"[0.3499999940395355, 1.0, 0.0]","float, float, float"
8,11:32:10.650,/adm/obj/4/xyz,"[0.8500000238418579, 1.0, 0.0]","float, float, float"
9,11:32:10.896,/adm/obj/1/xyz,"[-0.8500000238418579, 1.0, 0.0]","float, float, float"
10,11:32:10.896,/adm/obj/2/xyz,"[-0.3499999940395355, 1.0, 0.0]","float, float, float"
11,11:32:10.897,/adm/obj/3/xyz,"[0.3499999940395355, 1.0, 0.0]","float, float, float"
12,11:32:10.901,/adm/obj/4/xyz,"[0.8500000238418579, 1.0, 0.0]","float, float, float"
13,11:32:11.150,/adm/obj/4/xyz,"[0.8500000238418579, 1.0, 0.0]","float, float, float"
14,11:32:11.150,/adm/obj/3/xyz,"[0.3499999940395355, 1.0, 0.0]","float, float, float"
15,11:32:11.150,/adm/obj/1/xyz,"[-0.8500000238418579, 1.0, 0.0]","float, float, float"
16,11:32:11.150,/adm/obj/2/xyz,"[-0.3499999940395355, 1.0, 0.0]","float, float, float"
17,11:32:11.400,/adm/obj/1/xyz,"[-0.8500000238418579, 1.0, 0.0]","float, float, float"
18,11:32:11.401,/adm/obj/2/xyz,"[-0.3499999940395355, 1.0, 0.0]","float, float, float"
19,11:32:11.401,/adm/obj/3/xyz,"[0.3499999940395355, 1.0, 0.0]","float, float, float"
20,11:32:11.402,/adm/obj/4/xyz,"[0.8500000238418579, 1.0, 0.0]","float, float, float"
21,11:32:11.650,/adm/obj/4/xyz,"[0.8500000238418579, 1.0, 0.0]","float, float, float"
22,11:32:11.650,/adm/obj/1/xyz,"[-0.8500000238418579, 1.0, 0.0]","float, float, float"
23,11:32:11.650,/adm/obj/2/xyz,"[-0.3499999940395355, 1.0, 0.0]","float, float, float"
24,11:32:11.650,/adm/obj/3/xyz,"[0.3499999940395355, 1.0, 0.0]","float, float, float"
25,11:32:11.898,/adm/obj/4/xyz,"[0.8500000238418579, 1.0, 0.0]","float, float, float"
26,11:32:11.899,/adm/obj/3/xyz,"[0.3499999940395355, 1.0, 0.0]","float, float, float"
27,11:32:11.899,/adm/obj/1/xyz,"[-0.8500000238418579, 1.0, 0.0]","float, float, float"
28,11:32:11.899,/adm/obj/2/xyz,"[-0.3499999940395355, 1.0, 0.0]","float, float, float"
29,11:32:12.158,/adm/obj/1/xyz,"[-0.8500000238418579, 1.0, 0.0]","float, float, float"
30,11:32:12.159,/adm/obj/2/xyz,"[-0.3499999940395355, 1.0, 0.0]","float, float, float"
31,11:32:12.159,/adm/obj/3/xyz,"[0.3499999940395355, 1.0, 0.0]","float, float, float"
32,11:32:12.159,/adm/obj/4/xyz,"[0.8500000238418579, 1.0, 0.0]","float, float, float"
33,11:32:12.401,/adm/obj/1/xyz,"[-0.8500000238418579, 1.0, 0.0]","float, float, float"
34,11:32:12.401,/adm/obj/2/xyz,"[-0.3499999940395355, 1.0, 0.0]","float, float, float"
35,11:32:12.401,/adm/obj/3/xyz,"[0.3499999940395355, 1.0, 0.0]","float, float, float"
36,11:32:12.401,/adm/obj/4/xyz,"[0.8500000238418579, 1.0, 0.0]","float, float, float"
37,11:32:12.650,/adm/obj/4/xyz,"[0.8500000238418579, 1.0, 0.0]","float, float, float"
38,11:32:12.651,/adm/obj/3/xyz,"[0.3499999940395355, 1.0, 0.0]","float, float, float"
39,11:32:12.652,/adm/obj/2/xyz,"[-0.3499999940395355, 1.0, 0.0]","float, float, float"
40,11:32:12.652,/adm/obj/1/xyz,"[-0.8500000238418579, 1.0, 0.0]","float, float, float"
41,11:32:12.900,/adm/obj/1/xyz,"[-0.8500000238418579, 1.0, 0.0]","float, float, float"
42,11:32:12.901,/adm/obj/2/xyz,"[-0.3499999940395355, 1.0, 0.0]","float, float, float"
43,11:32:12.901,/adm/obj/3/xyz,"[0.3499999940395355, 1.0, 0.0]","float, float, float"
44,11:32:12.901,/adm/obj/4/xyz,"[0.8500000238418579, 1.0, 0.0]","float, float, float"
45,11:32:13.152,/adm/obj/1/xyz,"[-0.8500000238418579, 1.0, 0.0]","float, float, float"
46,11:32:13.153,/adm/obj/2/xyz,"[-0.3499999940395355, 1.0, 0.0]","float, float, float"
47,11:32:13.153,/adm/obj/3/xyz,"[0.3499999940395355, 1.0, 0.0]","float, float, float"
48,11:32:13.153,/adm/obj/4/xyz,"[0.8500000238418579, 1.0, 0.0]","float, float, float"
49,11:32:13.396,/adm/obj/3/xyz,"[0.3499999940395355, 1.0, 0.0]","float, float, float"
50,11:32:13.396,/adm/obj/4/xyz,"[0.8500000238418579, 1.0, 0.0]","float, float, float"
51,11:32:13.397,/adm/obj/1/xyz,"[-0.8500000238418579, 1.0, 0.0]","float, float, float"
52,11:32:13.397,/adm/obj/2/xyz,"[-0.3499999940395355, 1.0, 0.0]","float, float, float"
53,11:32:13.650,/adm/obj/3/xyz,"[0.3499999940395355, 1.0, 0.0]","float, float, float"
54,11:32:13.650,/adm/obj/4/xyz,"[0.8500000238418579, 1.0, 0.0]","float, float, float"
55,11:32:13.650,/adm/obj/1/xyz,"[-0.8500000238418579, 1.0, 0.0]","float, float, float"
56,11:32:13.650,/adm/obj/2/xyz,"[-0.3499999940395355, 1.0, 0.0]","float, float, float"
57,11:32:13.896,/adm/obj/1/xyz,"[-0.8500000238418579, 1.0, 0.0]","float, float, float"
58,11:32:13.897,/adm/obj/2/xyz,"[-0.3499999940395355, 1.0, 0.0]","float, float, float"
59,11:32:13.897,/adm/obj/3/xyz,"[0.3499999940395355, 1.0, 0.0]","float, float, float"
60,11:32:13.898,/adm/obj/4/xyz,"[0.8500000238418579, 1.0, 0.0]","float, float, float"
61,11:32:14.150,/adm/obj/1/xyz,"[-0.8500000238418579, 1.0, 0.0]","float, float, float"
62,11:32:14.151,/adm/obj/2/xyz,"[-0.3499999940395355, 1.0, 0.0]","float, float, float"
63,11:32:14.151,/adm/obj/3/xyz,"[0.3499999940395355, 1.0, 0.0]","float, float, float"
64,11:32:14.151,/adm/obj/4/xyz,"[0.8500000238418579, 1.0, 0.0]","float, float, float"
65,11:32:14.396,/adm/obj/3/xyz,"[0.3499999940395355, 1.0, 0.0]","float, float, float"
66,11:32:14.397,/adm/obj/4/xyz,"[0.8500000238418579, 1.0, 0.0]","float, float, float"
67,11:32:14.397,/adm/obj/1/xyz,"[-0.8500000238418579, 1.0, 0.0]","float, float, float"
68,11:32:14.397,/adm/obj/2/xyz,"[-0.3499999940395355, 1.0, 0.0]","float, float, float"
69,11:32:15.401,/adm/obj/2/xyz,"[-0.3499999940395355, 1.0, 0.0]","float, float, float"
70,11:32:15.402,/adm/obj/3/xyz,"[0.3499999940395355, 1.0, 0.0]","float, float, float"
71,11:32:15.402,/adm/obj/4/xyz,"[0.8500000238418579, 1.0, 0.0]","float, float, float"
72,11:32:15.403,/adm/obj/1/xyz,"[-0.8500000238418579, 1.0, 0.0]","float, float, float"
73,11:32:16.399,/adm/obj/1/xyz,"[-0.8500000238418579, 1.0, 0.0]","float, float, float"
74,11:32:16.400,/adm/obj/2/xyz,"[-0.3499999940395355, 1.0, 0.0]","float, float, float"
