time_s,x_lr,y_fb,z_height,gain_db,spread,width,height,depth,velocity_x,velocity_y,velocity_z,speed,accel,object_id,object_name,track_index,mfcc_01,mfcc_02,mfcc_03,mfcc_04,mfcc_05,mfcc_06,mfcc_07,mfcc_08,mfcc_09,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spec_centroid,spec_bandwidth,spec_rolloff,zcr,rms,flatness,spec_contrast_b0,spec_contrast_b1,spec_contrast_b2,spec_contrast_b3,spec_contrast_b4,spec_contrast_b5,spec_contrast_b6,onset_strength
0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AO_100b,Object 11,1,-851.6036987304688,54.87151336669922,5.346069812774658,-42.66796875,-60.61173629760742,-39.234886169433594,6.545112609863281,48.10173797607422,61.45399475097656,41.45350646972656,3.2202155590057373,-28.979063034057617,-37.290618896484375,1043.3996704772799,82.54835340305074,1054.6875,0.04345703125,0.04851774871349335,7.399093837623383e-11,23.641595495546454,1.2712754897359773,10.952424375125759,45.62711921072061,18.33387999184173,18.156184246357753,20.162646087025138,0.0
0.01,0.0,-0.9980007027179006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999297282099355,0.0,0.1999297282099355,19.992972820993547,AO_100b,Object 11,1,-853.7708129882812,51.80839157104492,2.287644386291504,-45.719051361083984,-63.65278625488281,-42.26243591308594,3.535688877105713,45.115684509277344,58.496131896972656,38.52729034423828,0.3275575339794159,-31.836898803710938,-40.111976623535156,1046.0543007886208,64.29746322495724,1054.6875,0.0439453125,0.04851752519607544,7.233011412033363e-11,20.712606277511306,1.8441730452722602,10.958932043072608,45.63254261760227,20.568848149783904,15.441960691054703,18.845957879397112,0.06821179389953613
0.02,0.0,-0.9959996554942777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20010472236229315,0.0,0.20010472236229315,0.01749941523576659,AO_100b,Object 11,1,-855.1073608398438,49.918392181396484,0.3983483910560608,-47.607337951660156,-65.53961181640625,-44.146728515625,1.6557300090789795,43.242286682128906,56.63123321533203,36.671897888183594,-1.518208622932434,-33.67338943481445,-41.93931579589844,1046.8207510828363,57.077769022564816,1054.6875,0.0439453125,0.04851750656962395,7.097329668415142e-11,17.553398368829882,2.5436800123139456,10.932228989286116,45.63721046685631,20.338081857938057,15.734791989790374,19.72178140623125,0.004777088761329651
0.03,0.0,-0.9940000118994377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19996435948400615,0.0,0.19996435948400615,-0.014036287828700367,AO_100b,Object 11,1,-855.5758666992188,49.25614929199219,-0.26313337683677673,-48.26751708984375,-66.1981201171875,-44.80366897583008,0.9997151494026184,42.586280822753906,55.97452926635742,36.01441955566406,-2.175835371017456,-34.33018493652344,-42.59438705444336,1047.0254657565604,55.61983363132122,1054.6875,0.0439453125,0.04851750656962395,7.06603386912974e-11,10.841467257137605,2.34512824629023,10.951293244183823,45.63516727851867,18.558214517921034,13.201337995459888,19.896290701080737,0.00018381699919700623
0.04,0.0,-0.992000692199344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993197000937046,0.0,0.19993197000937046,-0.0032389474635685644,AO_100b,Object 11,1,-855.579345703125,49.25155258178711,-0.26642489433288574,-48.26817321777344,-66.19512939453125,-44.79737854003906,1.0071845054626465,42.591827392578125,55.97573471069336,36.01093673706055,-2.1821746826171875,-34.3365364074707,-42.59853744506836,1047.1006059148096,55.97419065832996,1054.6875,0.04345703125,0.04851750656962395,7.001931673356054e-11,13.27971488751566,2.576528935925367,11.046547753509866,45.62779507148774,17.520348908427113,17.75130412317712,20.38879941641509,0.0005394220352172852
0.05,0.0,-0.9900000201409006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20006720584433424,0.0,0.20006720584433424,0.013523583496377611,AO_100b,Object 11,1,-855.584716796875,49.244590759277344,-0.27127596735954285,-48.26899719238281,-66.1905746459961,-44.788063049316406,1.0181585550308228,42.60001754760742,55.97764587402344,36.006004333496094,-2.1914021968841553,-34.346004486083984,-42.60493087768555,1047.1218967210211,55.525439418110814,1054.6875,0.04345703125,0.04851750656962395,7.010175079313896e-11,4.941133520399724,2.78685706488832,11.168480072885476,45.61812943409683,17.239969093201875,14.585471168475337,18.8280053471116,0.0006643980741500854
0.06,0.0,-0.9880000983128397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999218280608577,0.0,0.19999218280608577,-0.007502303824846734,AO_100b,Object 11,1,-855.5908813476562,49.236488342285156,-0.2768650949001312,-48.2698974609375,-66.18529510498047,-44.77735137939453,1.0307539701461792,42.60945129394531,55.979957580566406,36.00049591064453,-2.2018754482269287,-34.35687255859375,-42.6124153137207,1047.1353254375938,55.99195545478733,1054.6875,0.04345703125,0.048517510294914246,7.021522252514956e-11,2.1463328052138664,3.155281927998683,11.338620443320814,45.60488237191938,17.10390598136258,13.104841429831659,19.462144450855874,0.00040392205119132996
0.07,0.0,-0.9860007339454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19993643673852368,0.0,0.19993643673852368,-0.005574606756209022,AO_100b,Object 11,1,-855.5966186523438,49.229148864746094,-0.28192296624183655,-48.27069091796875,-66.18046569824219,-44.767608642578125,1.0421886444091797,42.61797332763672,55.981971740722656,35.99539566040039,-2.211474657058716,-34.36677551269531,-42.61919021606445,1047.1536292381163,57.212721759200726,1054.6875,0.04345703125,0.04851750284433365,7.010083485914365e-11,2.836392844644635,3.6428374871715405,11.491517712243578,45.580177295584456,18.707667681475638,15.934238983570253,18.478029454970667,0.00016189739108085632
0.08,0.0,-0.9840003848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20003491454545497,0.0,0.20003491454545497,0.009847780693128527,AO_100b,Object 11,1,-855.6007690429688,49.22374725341797,-0.2856166660785675,-48.271240234375,-66.17693328857422,-44.76048278808594,1.050536036491394,42.624202728271484,55.98345947265625,35.99170684814453,-2.2184720039367676,-34.37403869628906,-42.624183654785156,1047.1577536218695,56.310416285533016,1054.6875,0.04345703125,0.04851750284433365,6.976177274742312e-11,3.4218398574068587,4.211901089060937,11.634001117691223,45.57139588169332,20.422975664866378,14.325916857899117,19.777939284000624,3.5256147384643555e-05
0.09,0.0,-0.9820000878692596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20002969307403307,0.0,0.20002969307403307,-0.0005221471421901214,AO_100b,Object 11,1,-855.6026611328125,49.22135543823242,-0.2873183488845825,-48.27157211303711,-66.17538452148438,-44.75725173950195,1.0543698072433472,42.6270751953125,55.98414611816406,35.98999786376953,-2.221656084060669,-34.377296447753906,-42.626373291015625,1047.1576342930978,55.26437202601349,1054.6875,0.04345703125,0.04851749911904335,6.912060507291429e-11,11.447088568002911,4.494194587949231,11.670145120052474,45.569991559723086,21.53722069646343,14.78913349320483,19.810384841306863,9.448081254959106e-05
