timestamp_s,measure,beat,object_id,object_index,spread,x,y,z,tension_score,rms_velocity,dynamic_symbol,active_rule_id
3.0,4,4.0,violin_1,1,0.3333,-0.85,0.625,0.0,0.3333,0.375,p,harmony_to_spread
3.0,1,4.0,violin_2,2,0.25,-0.35,0.625,0.0,0.25,0.375,p,harmony_to_spread
3.0,2,4.0,violin_2,2,0.3667,-0.35,0.625,0.0,0.3667,0.375,p,harmony_to_spread
3.0,3,4.0,violin_2,2,0.25,-0.35,0.625,0.0,0.25,0.375,p,harmony_to_spread
3.0,4,4.0,violin_2,2,0.3333,-0.35,0.625,0.0,0.3333,0.375,p,harmony_to_spread
3.0,1,4.0,viola,3,0.25,0.35,0.625,0.0,0.25,0.375,p,harmony_to_spread
3.0,2,4.0,viola,3,0.3667,0.35,0.625,0.0,0.3667,0.375,p,harmony_to_spread
3.0,3,4.0,viola,3,0.25,0.35,0.625,0.0,0.25,0.375,p,harmony_to_spread
3.0,4,4.0,viola,3,0.3333,0.35,0.625,0.0,0.3333,0.375,p,harmony_to_spread
3.0,1,4.0,cello,4,0.25,0.85,0.625,0.0,0.25,0.375,p,harmony_to_spread
3.0,2,4.0,cello,4,0.3667,0.85,0.625,0.0,0.3667,0.375,p,harmony_to_spread
3.0,3,4.0,cello,4,0.25,0.85,0.625,0.0,0.25,0.375,p,harmony_to_spread
3.0,4,4.0,cello,4,0.3333,0.85,0.625,0.0,0.3333,0.375,p,harmony_to_spread
