timestamp_s,measure,beat,object_id,object_index,spread,x,y,z,tension_score,rms_velocity,dynamic_symbol,active_rule_id
0.0,1,1.0,violin_1,1,0.3333,-0.85,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
0.0,1,1.0,violin_2,2,0.3333,-0.35,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
0.0,1,1.0,viola,3,0.3333,0.35,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
0.0,1,1.0,cello,4,0.3333,0.85,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
0.25,4,1.25,violin_1,1,0.3333,-0.85,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
0.25,4,1.25,violin_2,2,0.3333,-0.35,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
0.25,4,1.25,viola,3,0.3333,0.35,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
0.25,4,1.25,cello,4,0.3333,0.85,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
0.5,4,1.5,violin_1,1,0.3333,-0.85,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
0.5,4,1.5,violin_2,2,0.3333,-0.35,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
0.5,4,1.5,viola,3,0.3333,0.35,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
0.5,4,1.5,cello,4,0.3333,0.85,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
0.75,4,1.75,violin_1,1,0.3333,-0.85,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
0.75,4,1.75,violin_2,2,0.3333,-0.35,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
0.75,4,1.75,viola,3,0.3333,0.35,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
0.75,4,1.75,cello,4,0.3333,0.85,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
1.0,1,2.0,violin_1,1,0.3333,-0.85,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
1.0,1,2.0,violin_2,2,0.3333,-0.35,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
1.0,1,2.0,viola,3,0.3333,0.35,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
1.0,1,2.0,cello,4,0.3333,0.85,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
1.25,4,2.25,violin_1,1,0.3333,-0.85,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
1.25,4,2.25,violin_2,2,0.3333,-0.35,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
1.25,4,2.25,viola,3,0.3333,0.35,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
1.25,4,2.25,cello,4,0.3333,0.85,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
1.5,4,2.5,violin_1,1,0.3333,-0.85,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
1.5,4,2.5,violin_2,2,0.3333,-0.35,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
1.5,4,2.5,viola,3,0.3333,0.35,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
1.5,4,2.5,cello,4,0.3333,0.85,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
1.75,4,2.75,violin_1,1,0.3333,-0.85,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
1.75,4,2.75,violin_2,2,0.3333,-0.35,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
1.75,4,2.75,viola,3,0.3333,0.35,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
1.75,4,2.75,cello,4,0.3333,0.85,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
2.0,1,3.0,violin_1,1,0.5667,-0.85,1.0,0.0,0.5667,0.375,~p,harmony_to_spread
2.0,1,3.0,violin_2,2,0.5667,-0.35,1.0,0.0,0.5667,0.375,~p,harmony_to_spread
2.0,1,3.0,viola,3,0.5667,0.35,1.0,0.0,0.5667,0.375,~p,harmony_to_spread
2.0,1,3.0,cello,4,0.5667,0.85,1.0,0.0,0.5667,0.375,~p,harmony_to_spread
2.25,4,3.25,violin_1,1,0.5667,-0.85,1.0,0.0,0.5667,0.375,~p,harmony_to_spread
2.25,4,3.25,violin_2,2,0.5667,-0.35,1.0,0.0,0.5667,0.375,~p,harmony_to_spread
2.25,4,3.25,viola,3,0.5667,0.35,1.0,0.0,0.5667,0.375,~p,harmony_to_spread
2.25,4,3.25,cello,4,0.5667,0.85,1.0,0.0,0.5667,0.375,~p,harmony_to_spread
2.5,4,3.5,violin_1,1,0.5667,-0.85,1.0,0.0,0.5667,0.375,~p,harmony_to_spread
2.5,4,3.5,violin_2,2,0.5667,-0.35,1.0,0.0,0.5667,0.375,~p,harmony_to_spread
2.5,4,3.5,viola,3,0.5667,0.35,1.0,0.0,0.5667,0.375,~p,harmony_to_spread
2.5,4,3.5,cello,4,0.5667,0.85,1.0,0.0,0.5667,0.375,~p,harmony_to_spread
2.75,4,3.75,violin_1,1,0.5667,-0.85,1.0,0.0,0.5667,0.375,~p,harmony_to_spread
2.75,4,3.75,violin_2,2,0.5667,-0.35,1.0,0.0,0.5667,0.375,~p,harmony_to_spread
2.75,4,3.75,viola,3,0.5667,0.35,1.0,0.0,0.5667,0.375,~p,harmony_to_spread
2.75,4,3.75,cello,4,0.5667,0.85,1.0,0.0,0.5667,0.375,~p,harmony_to_spread
3.0,1,4.0,violin_1,1,0.25,-0.85,1.0,0.0,0.25,0.375,~p,harmony_to_spread
3.0,1,4.0,violin_2,2,0.25,-0.35,1.0,0.0,0.25,0.375,~p,harmony_to_spread
3.0,1,4.0,viola,3,0.25,0.35,1.0,0.0,0.25,0.375,~p,harmony_to_spread
3.0,1,4.0,cello,4,0.25,0.85,1.0,0.0,0.25,0.375,~p,harmony_to_spread
3.25,4,4.25,violin_1,1,0.25,-0.85,1.0,0.0,0.25,0.375,~p,harmony_to_spread
3.25,4,4.25,violin_2,2,0.25,-0.35,1.0,0.0,0.25,0.375,~p,harmony_to_spread
3.25,4,4.25,viola,3,0.25,0.35,1.0,0.0,0.25,0.375,~p,harmony_to_spread
3.25,4,4.25,cello,4,0.25,0.85,1.0,0.0,0.25,0.375,~p,harmony_to_spread
3.5,4,4.5,violin_1,1,0.25,-0.85,1.0,0.0,0.25,0.375,~p,harmony_to_spread
3.5,4,4.5,violin_2,2,0.25,-0.35,1.0,0.0,0.25,0.375,~p,harmony_to_spread
3.5,4,4.5,viola,3,0.25,0.35,1.0,0.0,0.25,0.375,~p,harmony_to_spread
3.5,4,4.5,cello,4,0.25,0.85,1.0,0.0,0.25,0.375,~p,harmony_to_spread
3.75,4,4.75,violin_1,1,0.25,-0.85,1.0,0.0,0.25,0.375,~p,harmony_to_spread
3.75,4,4.75,violin_2,2,0.25,-0.35,1.0,0.0,0.25,0.375,~p,harmony_to_spread
3.75,4,4.75,viola,3,0.25,0.35,1.0,0.0,0.25,0.375,~p,harmony_to_spread
3.75,4,4.75,cello,4,0.25,0.85,1.0,0.0,0.25,0.375,~p,harmony_to_spread
4.0,2,1.0,violin_1,1,0.3333,-0.85,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
4.0,2,1.0,violin_2,2,0.3333,-0.35,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
4.0,2,1.0,viola,3,0.3333,0.35,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
4.0,2,1.0,cello,4,0.3333,0.85,1.0,0.0,0.3333,0.375,~p,harmony_to_spread
5.0,2,2.0,violin_1,1,0.2833,-0.85,1.0,0.0,0.2833,0.375,~p,harmony_to_spread
5.0,2,2.0,violin_2,2,0.2833,-0.35,1.0,0.0,0.2833,0.375,~p,harmony_to_spread
5.0,2,2.0,viola,3,0.2833,0.35,1.0,0.0,0.2833,0.375,~p,harmony_to_spread
5.0,2,2.0,cello,4,0.2833,0.85,1.0,0.0,0.2833,0.375,~p,harmony_to_spread
6.0,2,3.0,violin_1,1,0.4417,-0.85,1.0,0.0,0.4417,0.375,~p,harmony_to_spread
6.0,2,3.0,violin_2,2,0.4417,-0.35,1.0,0.0,0.4417,0.375,~p,harmony_to_spread
6.0,2,3.0,viola,3,0.4417,0.35,1.0,0.0,0.4417,0.375,~p,harmony_to_spread
6.0,2,3.0,cello,4,0.4417,0.85,1.0,0.0,0.4417,0.375,~p,harmony_to_spread
7.0,2,4.0,violin_1,1,0.3667,-0.85,1.0,0.0,0.3667,0.375,~p,harmony_to_spread
7.0,2,4.0,violin_2,2,0.3667,-0.35,1.0,0.0,0.3667,0.375,~p,harmony_to_spread
7.0,2,4.0,viola,3,0.3667,0.35,1.0,0.0,0.3667,0.375,~p,harmony_to_spread
7.0,2,4.0,cello,4,0.3667,0.85,1.0,0.0,0.3667,0.375,~p,harmony_to_spread
8.0,3,1.0,violin_1,1,0.3333,-0.85,0.0,0.0,0.3333,0.75,f,harmony_to_spread
8.0,3,1.0,violin_2,2,0.3333,-0.35,0.0,0.0,0.3333,0.75,f,harmony_to_spread
8.0,3,1.0,viola,3,0.3333,0.35,0.0,0.0,0.3333,0.75,f,harmony_to_spread
8.0,3,1.0,cello,4,0.3333,0.85,0.0,0.0,0.3333,0.75,f,harmony_to_spread
9.0,3,2.0,violin_1,1,0.3333,-0.85,0.0,0.0,0.3333,0.75,f,harmony_to_spread
9.0,3,2.0,violin_2,2,0.3333,-0.35,0.0,0.0,0.3333,0.75,f,harmony_to_spread
9.0,3,2.0,viola,3,0.3333,0.35,0.0,0.0,0.3333,0.75,f,harmony_to_spread
9.0,3,2.0,cello,4,0.3333,0.85,0.0,0.0,0.3333,0.75,f,harmony_to_spread
10.0,3,3.0,violin_1,1,0.3667,-0.85,0.0,0.0,0.3667,0.75,f,harmony_to_spread
10.0,3,3.0,violin_2,2,0.3667,-0.35,0.0,0.0,0.3667,0.75,f,harmony_to_spread
10.0,3,3.0,viola,3,0.3667,0.35,0.0,0.0,0.3667,0.75,f,harmony_to_spread
10.0,3,3.0,cello,4,0.3667,0.85,0.0,0.0,0.3667,0.75,f,harmony_to_spread
11.0,3,4.0,violin_1,1,0.25,-0.85,0.0,0.0,0.25,0.75,f,harmony_to_spread
11.0,3,4.0,violin_2,2,0.25,-0.35,0.0,0.0,0.25,0.75,f,harmony_to_spread
11.0,3,4.0,viola,3,0.25,0.35,0.0,0.0,0.25,0.75,f,harmony_to_spread
11.0,3,4.0,cello,4,0.25,0.85,0.0,0.0,0.25,0.75,f,harmony_to_spread
12.0,4,1.0,violin_1,1,0.5833,-0.85,0.0,0.0,0.5833,0.75,f,harmony_to_spread
12.0,4,1.0,violin_2,2,0.5833,-0.35,0.0,0.0,0.5833,0.75,f,harmony_to_spread
12.0,4,1.0,viola,3,0.5833,0.35,0.0,0.0,0.5833,0.75,f,harmony_to_spread
