timestamp_s,measure,beat,object_id,object_index,spread,x,y,z,tension_score,rms_velocity,dynamic_symbol,active_rule_id
12.0,4,1.0,cello,4,0.5833,0.85,0.0,0.0,0.5833,0.75,f,harmony_to_spread
13.0,4,2.0,violin_1,1,0.2,-0.85,0.0,0.0,0.2,0.75,f,harmony_to_spread
13.0,4,2.0,violin_2,2,0.2,-0.35,0.0,0.0,0.2,0.75,f,harmony_to_spread
13.0,4,2.0,viola,3,0.2,0.35,0.0,0.0,0.2,0.75,f,harmony_to_spread
13.0,4,2.0,cello,4,0.2,0.85,0.0,0.0,0.2,0.75,f,harmony_to_spread
14.0,4,3.0,violin_1,1,0.25,-0.85,0.0,0.0,0.25,0.75,f,harmony_to_spread
14.0,4,3.0,violin_2,2,0.25,-0.35,0.0,0.0,0.25,0.75,f,harmony_to_spread
14.0,4,3.0,viola,3,0.25,0.35,0.0,0.0,0.25,0.75,f,harmony_to_spread
14.0,4,3.0,cello,4,0.25,0.85,0.0,0.0,0.25,0.75,f,harmony_to_spread
15.0,4,4.0,violin_1,1,0.3333,-0.85,0.0,0.0,0.3333,0.75,f,harmony_to_spread
15.0,4,4.0,violin_2,2,0.3333,-0.35,0.0,0.0,0.3333,0.75,f,harmony_to_spread
15.0,4,4.0,viola,3,0.3333,0.35,0.0,0.0,0.3333,0.75,f,harmony_to_spread
15.0,4,4.0,cello,4,0.3333,0.85,0.0,0.0,0.3333,0.75,f,harmony_to_spread
